"mechanism","dominance","r2_dominant_parent","R2_linear_both","gain"
"COL1A1-TMPRSS6",1,1,1,0
"COL1A2-CD36",0.997307692307692,0.980810933802005,0.980827634933241,1.67011312358634e-05
"COL1A2-CD44",0.846692307692308,0.864296330017707,0.882107590679133,0.0178112606614262
"COL1A2-CD93",0.997423076923077,0.977482520647611,0.97758903862477,0.000106517977159104
"COL1A2-FLT4",0.999961538461538,0.99994198699978,0.999941996102549,9.10276898302698e-09
"COL1A2-ITGA1",0.998769230769231,0.966692999469817,0.96679586202195,0.000102862552133209
"COL1A2-ITGA11",1,1,1,0
"COL1A2-ITGA2",0.999692307692308,0.964698853632936,0.964792854464024,9.40008310889029e-05
"COL1A2-ITGA2B",0.998269230769231,0.803569957909345,0.803575465463174,5.50755382877632e-06
"COL1A2-ITGAV",0.999423076923077,0.989419968492916,0.989477207498788,5.72390058726224e-05
"COL1A2-ITGB1",0.984730769230769,0.984276519650136,0.984743977318236,0.000467457668100413
"COL1A2-ITGB3",0.999153846153846,0.880747230143141,0.881217289286741,0.000470059143600099
"COL2A1-DDR1",0.991884615384615,0.92366080004679,0.923771893002638,0.00011109295584788
"COL2A1-ITGA1",0.973615384615385,0.788234189680239,0.788304528511944,7.03388317049303e-05
"COL2A1-ITGA10",0.999615384615385,0.979915784575376,0.980004379862002,8.85952866253037e-05
"COL2A1-ITGA2",0.996884615384615,0.839018009491231,0.839033205048682,1.51955574505536e-05
"COL2A1-ITGA2B",0.993807692307692,0.589728487695789,0.590572387968121,0.000843900272331943
"COL2A1-ITGB1",0.617692307692308,0.534702148631737,0.545679919754714,0.0109777711229762
"COL2A1-MAG",0.999769230769231,0.886749184491256,0.886766572644003,1.73881527472108e-05
"COL3A1-DDR1",0.999846153846154,0.999500233206546,0.999500554499684,3.21293137539591e-07
"COL3A1-DDR2",1,1,1,0
"COL3A1-ITGA2",0.999846153846154,0.978592590262905,0.97863682382886,4.42335659547322e-05
"COL3A1-ITGB1",0.993346153846154,0.992256920720966,0.992388921222509,0.000132000501543161
"COL3A1-MAG",0.999884615384615,0.991005397377005,0.991009445827428,4.04845042323299e-06
"COL4A1-CD47",0.687653846153846,0.381210351595755,0.532031129058977,0.150820777463222
"COL4A1-CD93",0.953884615384615,0.811884589573486,0.839143664519161,0.0272590749456758
